Source,Target,Type,Kind,Id,Label,timeset,Weight
0,3,Undirected,,,,,6.393443
0,8,Undirected,,,,,6.393443
0,18,Undirected,,,,,6.393443
0,20,Undirected,,,,,11.721311
0,31,Undirected,,,,,8.524590
0,33,Undirected,,,,,7.459016
0,39,Undirected,,,,,10.655738
0,43,Undirected,,,,,8.524590
0,46,Undirected,,,,,7.459016
0,50,Undirected,,,,,6.393443
0,3,Undirected,,,,,6.393443
0,8,Undirected,,,,,6.393443
0,18,Undirected,,,,,6.393443
0,20,Undirected,,,,,11.721311
0,31,Undirected,,,,,8.524590
0,33,Undirected,,,,,7.459016
0,39,Undirected,,,,,10.655738
0,43,Undirected,,,,,8.524590
0,46,Undirected,,,,,7.459016
0,50,Undirected,,,,,6.393443
1,3,Undirected,,,,,8.524590
1,7,Undirected,,,,,10.655738
1,11,Undirected,,,,,9.590164
1,15,Undirected,,,,,15.983607
1,42,Undirected,,,,,8.524590
1,44,Undirected,,,,,13.852459
1,51,Undirected,,,,,12.786885
1,3,Undirected,,,,,8.524590
1,7,Undirected,,,,,10.655738
1,11,Undirected,,,,,9.590164
1,15,Undirected,,,,,15.983607
1,42,Undirected,,,,,8.524590
1,44,Undirected,,,,,13.852459
1,51,Undirected,,,,,12.786885
2,16,Undirected,,,,,6.393443
2,17,Undirected,,,,,6.393443
2,18,Undirected,,,,,7.459016
2,20,Undirected,,,,,12.786885
2,23,Undirected,,,,,14.918033
2,27,Undirected,,,,,7.459016
2,30,Undirected,,,,,14.918033
2,31,Undirected,,,,,9.590164
2,33,Undirected,,,,,8.524590
2,35,Undirected,,,,,7.459016
2,16,Undirected,,,,,6.393443
2,17,Undirected,,,,,6.393443
2,18,Undirected,,,,,7.459016
2,20,Undirected,,,,,12.786885
2,23,Undirected,,,,,14.918033
2,27,Undirected,,,,,7.459016
2,30,Undirected,,,,,14.918033
2,31,Undirected,,,,,9.590164
2,33,Undirected,,,,,8.524590
2,35,Undirected,,,,,7.459016
3,0,Undirected,,,,,6.393443
3,1,Undirected,,,,,8.524590
3,0,Undirected,,,,,6.393443
3,1,Undirected,,,,,8.524590
3,6,Undirected,,,,,11.721311
3,7,Undirected,,,,,8.524590
3,8,Undirected,,,,,6.393443
3,11,Undirected,,,,,14.918033
3,15,Undirected,,,,,13.852459
3,18,Undirected,,,,,6.393443
3,20,Undirected,,,,,11.721311
3,21,Undirected,,,,,6.393443
3,23,Undirected,,,,,6.393443
3,26,Undirected,,,,,12.786885
3,30,Undirected,,,,,6.393443
3,31,Undirected,,,,,8.524590
3,33,Undirected,,,,,7.459016
3,39,Undirected,,,,,10.655738
3,40,Undirected,,,,,8.524590
3,42,Undirected,,,,,6.393443
3,43,Undirected,,,,,8.524590
3,44,Undirected,,,,,11.721311
3,46,Undirected,,,,,7.459016
3,50,Undirected,,,,,6.393443
3,51,Undirected,,,,,10.655738
3,6,Undirected,,,,,11.721311
3,7,Undirected,,,,,8.524590
3,8,Undirected,,,,,6.393443
3,11,Undirected,,,,,14.918033
3,15,Undirected,,,,,13.852459
3,18,Undirected,,,,,6.393443
3,20,Undirected,,,,,11.721311
3,21,Undirected,,,,,6.393443
3,23,Undirected,,,,,6.393443
3,26,Undirected,,,,,12.786885
3,30,Undirected,,,,,6.393443
3,31,Undirected,,,,,8.524590
3,33,Undirected,,,,,7.459016
3,39,Undirected,,,,,10.655738
3,40,Undirected,,,,,8.524590
3,42,Undirected,,,,,6.393443
3,43,Undirected,,,,,8.524590
3,44,Undirected,,,,,11.721311
3,46,Undirected,,,,,7.459016
3,50,Undirected,,,,,6.393443
3,51,Undirected,,,,,10.655738
5,8,Undirected,,,,,6.393443
5,16,Undirected,,,,,5.327869
5,19,Undirected,,,,,6.393443
5,29,Undirected,,,,,6.393443
5,36,Undirected,,,,,10.655738
5,38,Undirected,,,,,8.524590
5,8,Undirected,,,,,6.393443
5,16,Undirected,,,,,5.327869
5,19,Undirected,,,,,6.393443
5,29,Undirected,,,,,6.393443
5,36,Undirected,,,,,10.655738
5,38,Undirected,,,,,8.524590
6,3,Undirected,,,,,11.721311
6,3,Undirected,,,,,11.721311
6,23,Undirected,,,,,11.721311
6,30,Undirected,,,,,11.721311
6,37,Undirected,,,,,14.918033
6,40,Undirected,,,,,13.852459
6,48,Undirected,,,,,14.918033
6,23,Undirected,,,,,11.721311
6,30,Undirected,,,,,11.721311
6,37,Undirected,,,,,14.918033
6,40,Undirected,,,,,13.852459
6,48,Undirected,,,,,14.918033
7,1,Undirected,,,,,10.655738
7,3,Undirected,,,,,8.524590
7,1,Undirected,,,,,10.655738
7,3,Undirected,,,,,8.524590
7,11,Undirected,,,,,9.590164
7,15,Undirected,,,,,15.983607
7,42,Undirected,,,,,8.524590
7,44,Undirected,,,,,13.852459
7,51,Undirected,,,,,12.786885
7,11,Undirected,,,,,9.590164
7,15,Undirected,,,,,15.983607
7,42,Undirected,,,,,8.524590
7,44,Undirected,,,,,13.852459
7,51,Undirected,,,,,12.786885
8,0,Undirected,,,,,6.393443
8,3,Undirected,,,,,6.393443
8,5,Undirected,,,,,6.393443
8,0,Undirected,,,,,6.393443
8,3,Undirected,,,,,6.393443
8,5,Undirected,,,,,6.393443
8,16,Undirected,,,,,5.327869
8,18,Undirected,,,,,6.393443
8,19,Undirected,,,,,6.393443
8,20,Undirected,,,,,11.721311
8,29,Undirected,,,,,6.393443
8,31,Undirected,,,,,8.524590
8,33,Undirected,,,,,7.459016
8,36,Undirected,,,,,10.655738
8,38,Undirected,,,,,8.524590
8,39,Undirected,,,,,10.655738
8,43,Undirected,,,,,8.524590
8,46,Undirected,,,,,7.459016
8,50,Undirected,,,,,6.393443
8,16,Undirected,,,,,5.327869
8,18,Undirected,,,,,6.393443
8,19,Undirected,,,,,6.393443
8,20,Undirected,,,,,11.721311
8,29,Undirected,,,,,6.393443
8,31,Undirected,,,,,8.524590
8,33,Undirected,,,,,7.459016
8,36,Undirected,,,,,10.655738
8,38,Undirected,,,,,8.524590
8,39,Undirected,,,,,10.655738
8,43,Undirected,,,,,8.524590
8,46,Undirected,,,,,7.459016
8,50,Undirected,,,,,6.393443
9,24,Undirected,,,,,11.721311
9,34,Undirected,,,,,12.786885
9,41,Undirected,,,,,12.786885
9,24,Undirected,,,,,11.721311
9,34,Undirected,,,,,12.786885
9,41,Undirected,,,,,12.786885
10,16,Undirected,,,,,5.327869
10,19,Undirected,,,,,6.393443
10,25,Undirected,,,,,6.393443
10,27,Undirected,,,,,6.393443
10,39,Undirected,,,,,10.655738
10,40,Undirected,,,,,8.524590
10,47,Undirected,,,,,8.524590
10,16,Undirected,,,,,5.327869
10,19,Undirected,,,,,6.393443
10,25,Undirected,,,,,6.393443
10,27,Undirected,,,,,6.393443
10,39,Undirected,,,,,10.655738
10,40,Undirected,,,,,8.524590
10,47,Undirected,,,,,8.524590
11,1,Undirected,,,,,9.590164
11,3,Undirected,,,,,14.918033
11,7,Undirected,,,,,9.590164
11,1,Undirected,,,,,9.590164
11,3,Undirected,,,,,14.918033
11,7,Undirected,,,,,9.590164
11,15,Undirected,,,,,14.918033
11,21,Undirected,,,,,7.459016
11,22,Undirected,,,,,9.590164
11,26,Undirected,,,,,13.852459
11,42,Undirected,,,,,7.459016
11,44,Undirected,,,,,12.786885
11,50,Undirected,,,,,7.459016
11,51,Undirected,,,,,11.721311
11,15,Undirected,,,,,14.918033
11,21,Undirected,,,,,7.459016
11,22,Undirected,,,,,9.590164
11,26,Undirected,,,,,13.852459
11,42,Undirected,,,,,7.459016
11,44,Undirected,,,,,12.786885
11,50,Undirected,,,,,7.459016
11,51,Undirected,,,,,11.721311
12,37,Undirected,,,,,9.590164
12,37,Undirected,,,,,9.590164
13,14,Undirected,,,,,6.393443
13,46,Undirected,,,,,8.524590
13,14,Undirected,,,,,6.393443
13,46,Undirected,,,,,8.524590
14,13,Undirected,,,,,6.393443
14,13,Undirected,,,,,6.393443
14,46,Undirected,,,,,6.393443
14,46,Undirected,,,,,6.393443
15,1,Undirected,,,,,15.983607
15,3,Undirected,,,,,13.852459
15,7,Undirected,,,,,15.983607
15,11,Undirected,,,,,14.918033
15,1,Undirected,,,,,15.983607
15,3,Undirected,,,,,13.852459
15,7,Undirected,,,,,15.983607
15,11,Undirected,,,,,14.918033
15,42,Undirected,,,,,13.852459
15,44,Undirected,,,,,19.180328
15,51,Undirected,,,,,18.114754
15,42,Undirected,,,,,13.852459
15,44,Undirected,,,,,19.180328
15,51,Undirected,,,,,18.114754
16,2,Undirected,,,,,6.393443
16,5,Undirected,,,,,5.327869
16,8,Undirected,,,,,5.327869
16,10,Undirected,,,,,5.327869
16,2,Undirected,,,,,6.393443
16,5,Undirected,,,,,5.327869
16,8,Undirected,,,,,5.327869
16,10,Undirected,,,,,5.327869
16,19,Undirected,,,,,10.655738
16,23,Undirected,,,,,5.327869
16,25,Undirected,,,,,5.327869
16,27,Undirected,,,,,5.327869
16,29,Undirected,,,,,5.327869
16,30,Undirected,,,,,5.327869
16,33,Undirected,,,,,6.393443
16,36,Undirected,,,,,9.590164
16,38,Undirected,,,,,7.459016
16,39,Undirected,,,,,9.590164
16,40,Undirected,,,,,7.459016
16,47,Undirected,,,,,7.459016
16,19,Undirected,,,,,10.655738
16,23,Undirected,,,,,5.327869
16,25,Undirected,,,,,5.327869
16,27,Undirected,,,,,5.327869
16,29,Undirected,,,,,5.327869
16,30,Undirected,,,,,5.327869
16,33,Undirected,,,,,6.393443
16,36,Undirected,,,,,9.590164
16,38,Undirected,,,,,7.459016
16,39,Undirected,,,,,9.590164
16,40,Undirected,,,,,7.459016
16,47,Undirected,,,,,7.459016
17,2,Undirected,,,,,6.393443
17,2,Undirected,,,,,6.393443
17,18,Undirected,,,,,5.327869
17,20,Undirected,,,,,10.655738
17,23,Undirected,,,,,5.327869
17,27,Undirected,,,,,5.327869
17,30,Undirected,,,,,5.327869
17,31,Undirected,,,,,7.459016
17,35,Undirected,,,,,5.327869
17,18,Undirected,,,,,5.327869
17,20,Undirected,,,,,10.655738
17,23,Undirected,,,,,5.327869
17,27,Undirected,,,,,5.327869
17,30,Undirected,,,,,5.327869
17,31,Undirected,,,,,7.459016
17,35,Undirected,,,,,5.327869
18,0,Undirected,,,,,6.393443
18,2,Undirected,,,,,7.459016
18,3,Undirected,,,,,6.393443
18,8,Undirected,,,,,6.393443
18,17,Undirected,,,,,5.327869
18,0,Undirected,,,,,6.393443
18,2,Undirected,,,,,7.459016
18,3,Undirected,,,,,6.393443
18,8,Undirected,,,,,6.393443
18,17,Undirected,,,,,5.327869
18,20,Undirected,,,,,23.442623
18,23,Undirected,,,,,6.393443
18,27,Undirected,,,,,6.393443
18,30,Undirected,,,,,6.393443
18,31,Undirected,,,,,17.049180
18,33,Undirected,,,,,7.459016
18,35,Undirected,,,,,6.393443
18,39,Undirected,,,,,10.655738
18,43,Undirected,,,,,8.524590
18,46,Undirected,,,,,7.459016
18,50,Undirected,,,,,6.393443
18,20,Undirected,,,,,23.442623
18,23,Undirected,,,,,6.393443
18,27,Undirected,,,,,6.393443
18,30,Undirected,,,,,6.393443
18,31,Undirected,,,,,17.049180
18,33,Undirected,,,,,7.459016
18,35,Undirected,,,,,6.393443
18,39,Undirected,,,,,10.655738
18,43,Undirected,,,,,8.524590
18,46,Undirected,,,,,7.459016
18,50,Undirected,,,,,6.393443
19,5,Undirected,,,,,6.393443
19,8,Undirected,,,,,6.393443
19,10,Undirected,,,,,6.393443
19,16,Undirected,,,,,10.655738
19,5,Undirected,,,,,6.393443
19,8,Undirected,,,,,6.393443
19,10,Undirected,,,,,6.393443
19,16,Undirected,,,,,10.655738
19,25,Undirected,,,,,6.393443
19,27,Undirected,,,,,6.393443
19,29,Undirected,,,,,6.393443
19,36,Undirected,,,,,10.655738
19,38,Undirected,,,,,8.524590
19,39,Undirected,,,,,10.655738
19,40,Undirected,,,,,8.524590
19,47,Undirected,,,,,8.524590
19,25,Undirected,,,,,6.393443
19,27,Undirected,,,,,6.393443
19,29,Undirected,,,,,6.393443
19,36,Undirected,,,,,10.655738
19,38,Undirected,,,,,8.524590
19,39,Undirected,,,,,10.655738
19,40,Undirected,,,,,8.524590
19,47,Undirected,,,,,8.524590
20,0,Undirected,,,,,11.721311
20,2,Undirected,,,,,12.786885
20,3,Undirected,,,,,11.721311
20,8,Undirected,,,,,11.721311
20,17,Undirected,,,,,10.655738
20,18,Undirected,,,,,23.442623
20,0,Undirected,,,,,11.721311
20,2,Undirected,,,,,12.786885
20,3,Undirected,,,,,11.721311
20,8,Undirected,,,,,11.721311
20,17,Undirected,,,,,10.655738
20,18,Undirected,,,,,23.442623
20,23,Undirected,,,,,11.721311
20,27,Undirected,,,,,11.721311
20,30,Undirected,,,,,11.721311
20,31,Undirected,,,,,27.704918
20,33,Undirected,,,,,12.786885
20,35,Undirected,,,,,11.721311
20,39,Undirected,,,,,15.983607
20,43,Undirected,,,,,13.852459
20,46,Undirected,,,,,12.786885
20,50,Undirected,,,,,11.721311
20,23,Undirected,,,,,11.721311
20,27,Undirected,,,,,11.721311
20,30,Undirected,,,,,11.721311
20,31,Undirected,,,,,27.704918
20,33,Undirected,,,,,12.786885
20,35,Undirected,,,,,11.721311
20,39,Undirected,,,,,15.983607
20,43,Undirected,,,,,13.852459
20,46,Undirected,,,,,12.786885
20,50,Undirected,,,,,11.721311
21,3,Undirected,,,,,6.393443
21,11,Undirected,,,,,7.459016
21,3,Undirected,,,,,6.393443
